"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 09:24:02 GMT 2024","Mon Jan 08 09:24:02 GMT 2024","112","","CliKintoneTest-1 Should return the error message when specifying unknown option","","","","CliKintoneTest-1 Should return the error message when specifying unknown option",""
"passed","Mon Jan 08 09:24:04 GMT 2024","Mon Jan 08 09:24:04 GMT 2024","99","","CliKintoneTest-9 Should return the error message when the baseUrl is not URL format","","","","CliKintoneTest-9 Should return the error message when the baseUrl is not URL format",""
"passed","Mon Jan 08 09:24:02 GMT 2024","Mon Jan 08 09:24:03 GMT 2024","105","","CliKintoneTest-5 Should return the error message when lacking of --base-url option","","","","CliKintoneTest-5 Should return the error message when lacking of --base-url option",""
"passed","Mon Jan 08 09:24:04 GMT 2024","Mon Jan 08 09:24:04 GMT 2024","108","","CliKintoneTest-10 Should return the error message when lacking of --app option","","","","CliKintoneTest-10 Should return the error message when lacking of --app option",""
"passed","Mon Jan 08 09:24:06 GMT 2024","Mon Jan 08 09:24:07 GMT 2024","475","","CliKintoneTest-18 Should return the error message when authorization information is incomplete (password)","","","","CliKintoneTest-18 Should return the error message when authorization information is incomplete (password)",""
"passed","Mon Jan 08 09:24:06 GMT 2024","Mon Jan 08 09:24:06 GMT 2024","472","","CliKintoneTest-15 Should return the error message when the API token is incorrect","","","","CliKintoneTest-15 Should return the error message when the API token is incorrect",""
"passed","Mon Jan 08 09:24:04 GMT 2024","Mon Jan 08 09:24:04 GMT 2024","107","","CliKintoneTest-11 Should return the error message when lacking the value of --app option","","","","CliKintoneTest-11 Should return the error message when lacking the value of --app option",""
"passed","Mon Jan 08 09:24:06 GMT 2024","Mon Jan 08 09:24:06 GMT 2024","472","","CliKintoneTest-17 Should return the error message when the user information is incorrect","","","","CliKintoneTest-17 Should return the error message when the user information is incorrect",""
"passed","Mon Jan 08 09:24:03 GMT 2024","Mon Jan 08 09:24:04 GMT 2024","98","","CliKintoneTest-8 Should return the error message when the protocol of baseUrl is not HTTPS","","","","CliKintoneTest-8 Should return the error message when the protocol of baseUrl is not HTTPS",""
"passed","Mon Jan 08 09:24:02 GMT 2024","Mon Jan 08 09:24:02 GMT 2024","94","","CliKintoneTest-3 Should return the cli-kintone version in correct format when using `cli-kintone --version`","","","","CliKintoneTest-3 Should return the cli-kintone version in correct format when using `cli-kintone --version`",""
"passed","Mon Jan 08 09:24:04 GMT 2024","Mon Jan 08 09:24:05 GMT 2024","598","","CliKintoneTest-13 Should return the error message when missing the --guest-space-id option and the app is in a guest space.","","","","CliKintoneTest-13 Should return the error message when missing the --guest-space-id option and the app is in a guest space.",""
"passed","Mon Jan 08 09:24:05 GMT 2024","Mon Jan 08 09:24:06 GMT 2024","521","","CliKintoneTest-14 Should return the error message when no authorized information","","","","CliKintoneTest-14 Should return the error message when no authorized information",""
"passed","Mon Jan 08 09:24:04 GMT 2024","Mon Jan 08 09:24:04 GMT 2024","526","","CliKintoneTest-12 Should return the error message when the app doesn't exist","","","","CliKintoneTest-12 Should return the error message when the app doesn't exist",""
"passed","Mon Jan 08 09:24:07 GMT 2024","Mon Jan 08 09:24:07 GMT 2024","476","","CliKintoneTest-19 Should return the error message when incorrect authorization information (password)","","","","CliKintoneTest-19 Should return the error message when incorrect authorization information (password)",""
"passed","Mon Jan 08 09:24:02 GMT 2024","Mon Jan 08 09:24:02 GMT 2024","99","","CliKintoneTest-2 Should return the error message when specifying unknown subcommand","","","","CliKintoneTest-2 Should return the error message when specifying unknown subcommand",""
"passed","Mon Jan 08 09:24:02 GMT 2024","Mon Jan 08 09:24:02 GMT 2024","98","","CliKintoneTest-4 Should return the help description by --help","","","","CliKintoneTest-4 Should return the help description by --help",""
"passed","Mon Jan 08 09:24:03 GMT 2024","Mon Jan 08 09:24:03 GMT 2024","871","","CliKintoneTest-6 Should return the error message when the baseUrl is non-existent subdomain","","","","CliKintoneTest-6 Should return the error message when the baseUrl is non-existent subdomain",""
