"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 06:41:44 GMT 2024","Wed Jan 17 06:41:48 GMT 2024","4099","","CliKintoneTest-95 Should return the record contents with valid condition query.","","","","CliKintoneTest-95 Should return the record contents with valid condition query.",""
"passed","Wed Jan 17 06:38:48 GMT 2024","Wed Jan 17 06:38:48 GMT 2024","628","","CliKintoneTest-130 Should return the error message when deleting the record with a draft API Token.","","","","CliKintoneTest-130 Should return the error message when deleting the record with a draft API Token.",""
"passed","Wed Jan 17 06:43:11 GMT 2024","Wed Jan 17 06:43:15 GMT 2024","4093","","CliKintoneTest-32 Should import the records successfully with username and password (-p option).","","","","CliKintoneTest-32 Should import the records successfully with username and password (-p option).",""
"passed","Wed Jan 17 06:43:27 GMT 2024","Wed Jan 17 06:43:28 GMT 2024","656","","CliKintoneTest-36 Should return the error message when importing records with a non-existent directory.","","","","CliKintoneTest-36 Should return the error message when importing records with a non-existent directory.",""
"passed","Wed Jan 17 06:42:13 GMT 2024","Wed Jan 17 06:42:15 GMT 2024","1157","","CliKintoneTest-102 Should return the error message when exporting records with --fields specified, including existent and non-existent field codes.","","","","CliKintoneTest-102 Should return the error message when exporting records with --fields specified, including existent and non-existent field codes.",""
"passed","Wed Jan 17 06:38:24 GMT 2024","Wed Jan 17 06:38:25 GMT 2024","661","","CliKintoneTest-13 Should return the error message when missing the --guest-space-id option and the app is in a guest space.","","","","CliKintoneTest-13 Should return the error message when missing the --guest-space-id option and the app is in a guest space.",""
"passed","Wed Jan 17 06:43:28 GMT 2024","Wed Jan 17 06:43:38 GMT 2024","9536","","CliKintoneTest-37 Should import the records successfully with multiple attachments on a field.","","","","CliKintoneTest-37 Should import the records successfully with multiple attachments on a field.",""
"passed","Wed Jan 17 06:41:56 GMT 2024","Wed Jan 17 06:42:01 GMT 2024","4748","","CliKintoneTest-98 Should return the record contents with valid --order-by option.","","","","CliKintoneTest-98 Should return the record contents with valid --order-by option.",""
"passed","Wed Jan 17 06:42:37 GMT 2024","Wed Jan 17 06:42:40 GMT 2024","2863","","CliKintoneTest-125 Should return only field codes when exporting the records of the app which no data","","","","CliKintoneTest-125 Should return only field codes when exporting the records of the app which no data",""
"passed","Wed Jan 17 06:42:05 GMT 2024","Wed Jan 17 06:42:09 GMT 2024","4110","","CliKintoneTest-100 Should return the record contents when exporting the record with --fields specified.","","","","CliKintoneTest-100 Should return the record contents when exporting the record with --fields specified.",""
"passed","Wed Jan 17 06:42:45 GMT 2024","Wed Jan 17 06:42:49 GMT 2024","4053","","CliKintoneTest-21 Should import records to app in space successfully.","","","","CliKintoneTest-21 Should import records to app in space successfully.",""
"passed","Wed Jan 17 06:41:07 GMT 2024","Wed Jan 17 06:41:14 GMT 2024","6914","","CliKintoneTest-90 Should return the record contents and download attachments successfully to an existing directory.","","","","CliKintoneTest-90 Should return the record contents and download attachments successfully to an existing directory.",""
"passed","Wed Jan 17 06:40:59 GMT 2024","Wed Jan 17 06:41:03 GMT 2024","4149","","CliKintoneTest-88 Should return the record contents in CSV format with -u and --password options.","","","","CliKintoneTest-88 Should return the record contents in CSV format with -u and --password options.",""
"passed","Wed Jan 17 06:45:37 GMT 2024","Wed Jan 17 06:45:41 GMT 2024","4086","","CliKintoneTest-76 Should import the records successfully including the Table field.","","","","CliKintoneTest-76 Should import the records successfully including the Table field.",""
"passed","Wed Jan 17 06:42:59 GMT 2024","Wed Jan 17 06:42:59 GMT 2024","619","","CliKintoneTest-27 Should return the error message when importing records with valid and invalid API Tokens.","","","","CliKintoneTest-27 Should return the error message when importing records with valid and invalid API Tokens.",""
"passed","Wed Jan 17 06:39:04 GMT 2024","Wed Jan 17 06:39:04 GMT 2024","115","","CliKintoneTest-137 Should return the error message when deleting records with a non-existent file.","","","","CliKintoneTest-137 Should return the error message when deleting records with a non-existent file.",""
"passed","Wed Jan 17 06:40:43 GMT 2024","Wed Jan 17 06:40:47 GMT 2024","4227","","CliKintoneTest-81 Should return the record contents in CSV format.","","","","CliKintoneTest-81 Should return the record contents in CSV format.",""
"passed","Wed Jan 17 06:38:55 GMT 2024","Wed Jan 17 06:38:55 GMT 2024","99","","CliKintoneTest-134 Should return the error message when authorizing with username/password.","","","","CliKintoneTest-134 Should return the error message when authorizing with username/password.",""
